feature_set,model,chrono_auc,chrono_lo,chrono_hi,loro_auc,loro_lo,loro_hi,recall,precision
baseline,DecisionTree,0.6996058558558558,0.6042923898162869,0.7866284960589881,0.5932034155075059,0.5239311300207377,0.6618730730852816,0.6891891891891891,0.7285714285714285
baseline,HistGBoost,0.776463963963964,0.6855587742685261,0.8571498462398657,0.5966464674287288,0.5230428543603034,0.6690427310863227,0.7837837837837838,0.7945205479452054
+simple-memory,DecisionTree,0.5768581081081081,0.46932291666666665,0.6800771136157164,0.5620782261396502,0.485291841701464,0.6322996875549449,0.3918918918918919,0.5471698113207547
+simple-memory,HistGBoost,0.7339527027027026,0.6348700796921654,0.8286712398373983,0.7070995730615617,0.6377620109072447,0.7703604939113047,0.7702702702702703,0.7702702702702703
+moisture-codes,DecisionTree,0.7245213963963965,0.6283221383879278,0.8174741641337385,0.5976793830050957,0.5308731481668469,0.662399464570517,0.527027027027027,0.7358490566037735
+moisture-codes,HistGBoost,0.7622466216216216,0.657591314935065,0.8556369524354364,0.6710163889271451,0.5998857166848811,0.7440686512301605,0.9594594594594594,0.7553191489361702
