item,auc,ci_lo,ci_hi,note
dataset_FWI_column,0.9870495495495495,0.9706457925636008,0.9975930347881568,audit/circular
self_FWI_noon,0.8657094594594594,0.8001164320024399,0.9258193641234364,unservable (noon station)
self_FWI_openmeteo,0.7699887387387387,0.687217207204059,0.8498786169526787,servable ceiling ~0.78
best_servable_ML,0.776463963963964,0.6855587742685261,0.8571498462398657,servable
shipped_tree,0.7096002252252253,0.6199894428155209,0.7976517886264095,servable/shipped
trivial_always_fire,0.5,0.5,0.5,baseline
circularity_plus_dataset_FWI,0.9985923423423424,0.9955813311239989,1.0,circular demo
