Region,date,temp,RH,Ws,Rain
Bejaia,2012-09-12,26.3,74,10.8,0.0
Bejaia,2012-09-13,22.9,62,17.9,7.9
Bejaia,2012-09-14,21.3,64,17.3,2.4
Bejaia,2012-09-15,23.9,60,9.7,0.0
Bejaia,2012-09-16,26.9,45,12.2,0.0
Bejaia,2012-09-17,27.4,53,11.5,0.0
Bejaia,2012-09-18,28.0,55,9.4,0.0
Bejaia,2012-09-19,26.9,69,13.0,0.0
Bejaia,2012-09-20,25.3,75,16.5,0.3
Bejaia,2012-09-21,32.2,37,12.6,0.0
Bejaia,2012-09-22,32.8,34,17.9,0.0
Bejaia,2012-09-23,31.7,42,11.7,0.0
Bejaia,2012-09-24,29.0,46,17.0,0.0
Bejaia,2012-09-25,26.5,61,10.1,0.4
Bejaia,2012-09-26,26.9,58,12.0,0.0
Bejaia,2012-09-27,26.9,66,14.7,0.2
Bejaia,2012-09-28,30.4,52,23.8,0.0
Bejaia,2012-09-29,23.1,62,14.9,0.3
Bejaia,2012-09-30,23.2,62,13.2,0.1
Sidi-Bel Abbes,2012-06-01,34.6,24,14.1,0.5
Sidi-Bel Abbes,2012-06-02,30.0,40,12.1,0.0
Sidi-Bel Abbes,2012-06-03,29.0,38,13.2,0.0
Sidi-Bel Abbes,2012-06-04,31.6,27,13.1,0.0
Sidi-Bel Abbes,2012-06-05,32.7,24,12.2,0.0
Sidi-Bel Abbes,2012-06-06,35.9,25,13.4,0.0
Sidi-Bel Abbes,2012-06-07,34.8,23,17.2,0.0
Sidi-Bel Abbes,2012-06-08,27.6,33,19.1,0.0
Sidi-Bel Abbes,2012-06-09,27.3,29,17.6,0.0
Sidi-Bel Abbes,2012-06-10,30.7,22,15.8,0.0
Sidi-Bel Abbes,2012-06-11,30.6,27,22.7,0.0
Sidi-Bel Abbes,2012-06-12,27.4,22,17.1,0.0
Sidi-Bel Abbes,2012-06-13,31.1,30,18.8,0.0
Sidi-Bel Abbes,2012-06-14,26.9,48,12.9,0.0
Sidi-Bel Abbes,2012-06-15,27.7,48,10.1,0.0
Sidi-Bel Abbes,2012-06-16,30.0,33,11.6,0.0
Sidi-Bel Abbes,2012-06-17,31.3,40,13.7,0.0
Sidi-Bel Abbes,2012-06-18,37.6,23,29.1,0.8
Sidi-Bel Abbes,2012-06-19,30.9,27,17.4,0.0
Sidi-Bel Abbes,2012-06-20,32.1,28,12.9,0.0
Sidi-Bel Abbes,2012-06-21,31.3,28,12.5,0.0
Sidi-Bel Abbes,2012-06-22,34.4,26,14.1,0.0
Sidi-Bel Abbes,2012-06-23,34.4,31,11.5,0.0
Sidi-Bel Abbes,2012-06-24,36.8,27,11.2,0.0
Sidi-Bel Abbes,2012-06-25,35.5,29,13.7,0.0
Sidi-Bel Abbes,2012-06-26,38.1,22,12.8,0.0
Sidi-Bel Abbes,2012-06-27,38.3,17,10.8,0.0
Sidi-Bel Abbes,2012-06-28,38.6,16,9.0,0.1
Sidi-Bel Abbes,2012-06-29,36.8,21,13.0,0.0
Sidi-Bel Abbes,2012-06-30,31.8,24,18.0,0.0
Sidi-Bel Abbes,2012-07-01,28.6,22,18.0,0.0
Sidi-Bel Abbes,2012-07-02,34.1,19,17.7,0.0
Sidi-Bel Abbes,2012-07-03,35.3,26,12.3,0.0
Sidi-Bel Abbes,2012-07-04,34.7,26,11.1,0.0
Sidi-Bel Abbes,2012-07-05,33.8,24,16.2,0.0
Sidi-Bel Abbes,2012-07-06,35.1,19,12.3,0.0
Sidi-Bel Abbes,2012-07-07,35.1,25,12.1,0.0
Sidi-Bel Abbes,2012-07-08,35.6,21,12.0,0.0
Sidi-Bel Abbes,2012-07-09,37.5,18,11.8,0.0
Sidi-Bel Abbes,2012-07-10,34.2,22,12.4,0.0
Sidi-Bel Abbes,2012-07-11,35.6,16,13.0,0.0
Sidi-Bel Abbes,2012-07-12,37.6,17,11.2,0.0
Sidi-Bel Abbes,2012-07-13,40.1,17,10.1,0.0
Sidi-Bel Abbes,2012-07-14,36.8,19,16.1,0.0
Sidi-Bel Abbes,2012-07-15,36.0,24,14.4,0.0
Sidi-Bel Abbes,2012-07-16,32.3,39,13.7,0.0
Sidi-Bel Abbes,2012-07-17,32.9,29,15.1,0.0
Sidi-Bel Abbes,2012-07-18,33.5,22,12.5,0.0
Sidi-Bel Abbes,2012-07-19,34.5,24,12.6,0.0
Sidi-Bel Abbes,2012-07-20,37.3,13,10.8,0.0
Sidi-Bel Abbes,2012-07-21,37.2,11,15.1,0.0
Sidi-Bel Abbes,2012-07-22,32.5,26,14.9,0.0
Sidi-Bel Abbes,2012-07-23,32.7,33,12.5,0.0
Sidi-Bel Abbes,2012-07-24,34.5,25,15.0,0.0
Sidi-Bel Abbes,2012-07-25,41.4,10,13.0,0.0
Sidi-Bel Abbes,2012-07-26,33.3,36,13.2,0.0
Sidi-Bel Abbes,2012-07-27,29.7,43,13.3,0.0
Sidi-Bel Abbes,2012-07-28,30.6,35,13.2,0.0
Sidi-Bel Abbes,2012-07-29,34.4,22,14.1,0.0
Sidi-Bel Abbes,2012-07-30,36.8,23,12.2,0.0
Sidi-Bel Abbes,2012-07-31,38.8,24,10.2,0.0
Sidi-Bel Abbes,2012-08-01,40.5,20,10.7,0.2
Sidi-Bel Abbes,2012-08-02,42.2,10,11.9,0.3
Sidi-Bel Abbes,2012-08-03,38.6,17,12.1,0.0
Sidi-Bel Abbes,2012-08-04,39.7,12,12.9,0.0
Sidi-Bel Abbes,2012-08-05,32.3,22,13.8,0.0
Sidi-Bel Abbes,2012-08-06,30.8,30,16.3,0.0
Sidi-Bel Abbes,2012-08-07,37.6,25,12.1,0.0
Sidi-Bel Abbes,2012-08-08,39.9,17,14.2,1.2
Sidi-Bel Abbes,2012-08-09,41.4,12,11.6,1.3
Sidi-Bel Abbes,2012-08-10,41.0,13,12.3,0.0
Sidi-Bel Abbes,2012-08-11,41.0,10,13.3,0.1
Sidi-Bel Abbes,2012-08-12,38.6,12,17.5,0.0
Sidi-Bel Abbes,2012-08-13,34.5,20,13.8,0.0
Sidi-Bel Abbes,2012-08-14,37.0,16,10.8,0.0
Sidi-Bel Abbes,2012-08-15,34.8,23,11.0,0.0
Sidi-Bel Abbes,2012-08-16,39.1,17,12.3,0.0
Sidi-Bel Abbes,2012-08-17,43.8,6,15.2,0.0
Sidi-Bel Abbes,2012-08-18,37.2,27,11.7,0.0
Sidi-Bel Abbes,2012-08-19,37.9,28,12.5,0.0
Sidi-Bel Abbes,2012-08-20,35.5,35,10.8,0.0
Sidi-Bel Abbes,2012-08-21,36.5,27,10.7,0.0
Sidi-Bel Abbes,2012-08-22,38.5,19,10.4,1.5
Sidi-Bel Abbes,2012-08-23,35.3,21,14.1,0.0
Sidi-Bel Abbes,2012-08-24,34.5,21,15.3,0.0
Sidi-Bel Abbes,2012-08-25,33.5,18,17.1,0.0
Sidi-Bel Abbes,2012-08-26,33.2,28,14.8,0.0
Sidi-Bel Abbes,2012-08-27,35.8,20,10.9,0.0
Sidi-Bel Abbes,2012-08-28,36.2,22,10.2,0.0
Sidi-Bel Abbes,2012-08-29,35.4,32,11.8,0.0
Sidi-Bel Abbes,2012-08-30,34.3,24,14.3,0.0
Sidi-Bel Abbes,2012-08-31,29.6,36,17.2,2.2
Sidi-Bel Abbes,2012-09-01,29.8,27,13.9,0.0
Sidi-Bel Abbes,2012-09-02,27.9,31,16.8,0.0
Sidi-Bel Abbes,2012-09-03,28.7,20,14.3,0.0
Sidi-Bel Abbes,2012-09-04,30.0,22,15.5,0.0
Sidi-Bel Abbes,2012-09-05,32.1,28,16.3,0.0
Sidi-Bel Abbes,2012-09-06,34.9,25,14.0,0.0
Sidi-Bel Abbes,2012-09-07,34.6,23,10.5,1.2
Sidi-Bel Abbes,2012-09-08,30.7,41,10.2,0.0
Sidi-Bel Abbes,2012-09-09,29.5,39,11.4,0.0
Sidi-Bel Abbes,2012-09-10,28.9,39,13.8,0.0
Sidi-Bel Abbes,2012-09-11,29.4,41,13.0,0.0
Sidi-Bel Abbes,2012-09-12,31.0,33,10.4,0.0
Sidi-Bel Abbes,2012-09-13,29.8,32,20.2,0.0
